TableName  COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
Tickets   IsDeleted                                                                                                                        bit                                                                                                                                                  NULL NO         
Tickets   CustomFields                                                                                                                     nvarchar                                                                                                                                               -1 YES        
Tickets   RowVersion                                                                                                                       timestamp                                                                                                                                            NULL YES        

(25 rows affected)
TableName COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
--------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Vehicles  Id                                                                                                                               int                                                                                                                                                  NULL NO         
Vehicles  VehicleNumber                                                                                                                    nvarchar                                                                                                                                               50 NO         
Vehicles  BusNumber                                                                                                                        nvarchar                                                                                                                                               50 YES        
Vehicles  Make                                                                                                                             nvarchar                                                                                                                                               50 YES        
Vehicles  Model                                                                                                                            nvarchar                                                                                                                                               50 YES        
Vehicles  Year                                                                                                                             int                                                                                                                                                  NULL YES        
Vehicles  SeatingCapacity                                                                                                                  int                                                                                                                                                  NULL YES        
Vehicles  VINNumber                                                                                                                        nvarchar                                                                                                                                              100 YES        
Vehicles  LicenseNumber                                                                                                                    nvarchar                                                                                                                                               50 YES        
Vehicles  DateLastInspection                                                                                                               nvarchar                                                                                                                                               50 YES        
Vehicles  Notes                                                                                                                            nvarchar                                                                                                                                               -1 YES        
Vehicles  FuelType                                                                                                                         nvarchar                                                                                                                                               50 YES        
Vehicles  Status                                                                                                                           nvarchar                                                                                                                                               50 YES        
Vehicles  VehicleId                                                                                                                        int                                                                                                                                                  NULL YES        
Vehicles  CurrentOdometer                                                                                                                  int                                                                                                                                                  NULL YES        
Vehicles  FleetType                                                                                                                        nvarchar                                                                                                                                               20 YES        
Vehicles  FuelCapacity                                                                                                                     decimal                                                                                                                                              NULL YES        
Vehicles  MilesPerGallon                                                                                                                   decimal                                                                                                                                              NULL YES        
Vehicles  PurchaseDate                                                                                                                     datetime2                                                                                                                                            NULL YES        
Vehicles  PurchasePrice                                                                                                                    decimal                                                                                                                                              NULL YES        
Vehicles  LastServiceDate                                                                                                                  datetime2                                                                                                                                            NULL YES        
Vehicles  NextMaintenanceDue                                                                                                               datetime2                                                                                                                                            NULL YES        
Vehicles  NextMaintenanceMileage                                                                                                           int                                                                                                                                                  NULL YES        
Vehicles  Department                                                                                                                       nvarchar                                                                                                                                               50 YES        
Vehicles  InsurancePolicyNumber                                                                                                            nvarchar                                                                                                                                              100 YES        
Vehicles  InsuranceExpiryDate                                                                                                              datetime2                                                                                                                                            NULL YES        
Vehicles  GPSTracking                                                                                                                      bit                                                                                                                                                  NULL NO         
Vehicles  GPSDeviceId                                                                                                                      nvarchar                                                                                                                                              100 YES        
Vehicles  SpecialEquipment                                                                                                                 nvarchar                                                                                                                                             1000 YES        
Vehicles  CreatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Vehicles  CreatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        
Vehicles  UpdatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Vehicles  UpdatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        

(33 rows affected)
